X:Vel_RX-GEAR22-jiandanjiaolian(rad/s),X:Vel_RY-GEAR22-jiandanjiaolian(rad/s),X:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),X:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),X:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2),Y:Vel_RX-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RY-GEAR22-jiandanjiaolian(rad/s),Y:Vel_RZ-GEAR22-jiandanjiaolian(rad/s),Y:Acc_RX-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RY-GEAR22-jiandanjiaolian(rad/s^2),Y:Acc_RZ-GEAR22-jiandanjiaolian(rad/s^2)
0.013253000,0.013253000,0.013253000,0.013253000,0.013253000,0.013253000,-0.76389784,-2.6291006e-15,2.7139103e-15,0.35149579,1.2097400e-15,-1.2487639e-15
0.014253000,0.014253000,0.014253000,0.014253000,0.014253000,0.014253000,-0.76380996,-2.6287982e-15,2.7135981e-15,0.17574789,6.0487001e-16,-6.2438195e-16
0.015253000,0.015253000,0.015253000,0.015253000,0.015253000,0.015253000,-0.76376603,-2.6286469e-15,2.7134420e-15,0.087873947,3.0243501e-16,-3.1219097e-16
0.016253000,0.016253000,0.016253000,0.016253000,0.016253000,0.016253000,-0.76374406,-2.6285713e-15,2.7133640e-15,0.043936974,1.5121750e-16,-1.5609549e-16
0.017253000,0.017253000,0.017253000,0.017253000,0.017253000,0.017253000,-1.0055536,-3.4608051e-15,3.5724440e-15,-161.19171,-5.5477212e-13,5.7266799e-13
0.018253000,0.018253000,0.018253000,0.018253000,0.018253000,0.018253000,-1.0936784,-3.7641034e-15,3.8855261e-15,-73.384407,-2.5256648e-13,2.6071379e-13
0.019253000,0.019253000,0.019253000,0.019253000,0.019253000,0.019253000,-1.1074380,-3.8114596e-15,3.9344100e-15,-18.346102,-6.3141620e-14,6.5178447e-14
0.020253000,0.020253000,0.020253000,0.020253000,0.020253000,0.020253000,-1.1108778,-3.8232987e-15,3.9466309e-15,-4.5865254,-1.5785405e-14,1.6294612e-14
0.021253000,0.021253000,0.021253000,0.021253000,0.021253000,0.021253000,-1.1117378,-3.8262585e-15,3.9496862e-15,-1.1466314,-3.9463513e-15,4.0736529e-15
0.022253000,0.022253000,0.022253000,0.022253000,0.022253000,0.022253000,-1.1119528,-3.8269984e-15,3.9504500e-15,-0.28665784,-9.8658781e-16,1.0184132e-15
0.023753000,0.023753000,0.023753000,0.023753000,0.023753000,0.023753000,-1.1120245,-3.8272451e-15,3.9507046e-15,-0.071664460,-2.4664695e-16,2.5460331e-16
0.024753000,0.024753000,0.024753000,0.024753000,0.024753000,0.024753000,-1.1120424,-3.8273067e-15,3.9507682e-15,-0.035832230,-1.2332348e-16,1.2730165e-16
0.025753000,0.025753000,0.025753000,0.025753000,0.025753000,0.025753000,-1.1120514,-3.8273375e-15,3.9508000e-15,-0.017916115,-6.1661738e-17,6.3650827e-17
0.026753000,0.026753000,0.026753000,0.026753000,0.026753000,0.026753000,-1.1120558,-3.8273530e-15,3.9508160e-15,-0.0089580575,-3.0830869e-17,3.1825413e-17
0.027753000,0.027753000,0.027753000,0.027753000,0.027753000,0.027753000,-1.1120581,-3.8273607e-15,3.9508239e-15,-0.0044790287,-1.5415435e-17,1.5912707e-17
0.028753000,0.028753000,0.028753000,0.028753000,0.028753000,0.028753000,-1.1120592,-3.8273645e-15,3.9508279e-15,-0.0022395144,-7.7077173e-18,7.9563533e-18
0.029753000,0.029753000,0.029753000,0.029753000,0.029753000,0.029753000,-1.1120597,-3.8273665e-15,3.9508299e-15,-0.0011197572,-3.8538587e-18,3.9781767e-18
0.030753000,0.030753000,0.030753000,0.030753000,0.030753000,0.030753000,-1.1120600,-3.8273674e-15,3.9508309e-15,-0.00055987859,-1.9269293e-18,1.9890883e-18
0.031753000,0.031753000,0.031753000,0.031753000,0.031753000,0.031753000,-1.1120602,-3.8273679e-15,3.9508314e-15,-0.00027993930,-9.6346466e-19,9.9454417e-19
0.032753000,0.032753000,0.032753000,0.032753000,0.032753000,0.032753000,-1.1120602,-3.8273681e-15,3.9508316e-15,-0.00013996965,-4.8173233e-19,4.9727208e-19
0.033753000,0.033753000,0.033753000,0.033753000,0.033753000,0.033753000,-1.1120603,-3.8273683e-15,3.9508318e-15,-6.9984824e-05,-2.4086617e-19,2.4863604e-19
0.034753000,0.034753000,0.034753000,0.034753000,0.034753000,0.034753000,-1.1120603,-3.8273683e-15,3.9508318e-15,-3.4992412e-05,-1.2043308e-19,1.2431802e-19
0.035753000,0.035753000,0.035753000,0.035753000,0.035753000,0.035753000,-1.1120603,-3.8273683e-15,3.9508318e-15,-1.7496206e-05,-6.0216541e-20,6.2159011e-20
0.036753000,0.036753000,0.036753000,0.036753000,0.036753000,0.036753000,-1.0375669,-3.5709851e-15,3.6861782e-15,49.662244,1.7092212e-13,-1.7643574e-13
0.037753000,0.037753000,0.037753000,0.037753000,0.037753000,0.037753000,-0.96219380,-3.3115741e-15,3.4183991e-15,66.802835,2.2991474e-13,-2.3733134e-13
0.038753000,0.038753000,0.038753000,0.038753000,0.038753000,0.038753000,-0.94549309,-3.2540954e-15,3.3590662e-15,33.401417,1.1495737e-13,-1.1866567e-13
